"サービスID","データID","取得日","飲食購入金額","コメント"
"0000975676","cli_t-30","2019-07-02 18:20:38","600",""
"0000341128","cli_t-30","2019-05-06 16:20:56","700",""
"000040918","cli_t-30","2019-05-15 14:40:32","100",""
"0000942718","cli_t-30","2019-07-10 06:19:07","800",""
"000027911","cli_t-30","2019-12-24 08:58:29","450",""
"0000213807","cli_t-30","2019-06-10 04:22:11","850",""
"0000359473","cli_t-30","2019-04-11 19:43:01","250",""
"0000810109","cli_t-30","2019-12-10 17:32:44","450",""
"0000997437","cli_t-30","2019-02-26 07:31:00","500",""
"0000148072","cli_t-30","2019-10-04 09:33:09","350",""
"000065892","cli_t-30","2019-02-10 12:20:59","100",""
"0000442955","cli_t-30","2019-02-14 12:31:26","850",""
"0000928860","cli_t-30","2019-02-03 15:52:39","400",""
"0000437547","cli_t-30","2019-05-13 14:59:56","850",""
"0000652104","cli_t-30","2019-01-30 12:29:59","600",""
"000039846","cli_t-30","2019-06-21 18:27:21","850",""
"0000892275","cli_t-30","2019-05-04 08:04:07","500",""
"0000123604","cli_t-30","2019-06-12 10:08:15","250",""
"0000994768","cli_t-30","2019-12-12 21:46:27","900",""
"0000325258","cli_t-30","2019-04-15 08:41:04","150",""
"0000718035","cli_t-30","2019-09-17 10:59:15","100",""
"0000634328","cli_t-30","2019-09-21 01:21:20","100",""
"0000699025","cli_t-30","2019-10-25 11:46:36","400",""
"0000192355","cli_t-30","2019-02-05 13:02:34","450",""
"0000592893","cli_t-30","2019-10-13 10:57:24","850",""
"0000966474","cli_t-30","2019-08-30 00:48:33","850",""
"0000119996","cli_t-30","2019-11-19 09:16:21","850",""
"0000255562","cli_t-30","2019-09-03 17:37:34","200",""
"0000101455","cli_t-30","2019-09-06 07:47:00","450",""
"000013642","cli_t-30","2019-04-13 11:00:22","500",""
"0000345563","cli_t-30","2019-04-01 10:02:51","550",""
"0000267908","cli_t-30","2019-11-13 03:05:45","100",""
"000056627","cli_t-30","2019-04-27 00:48:31","800",""
"0000140925","cli_t-30","2019-03-01 12:46:18","750",""
"0000141609","cli_t-30","2019-08-25 11:24:04","750",""
"0000394917","cli_t-30","2019-07-08 01:32:37","850",""
"0000148877","cli_t-30","2019-10-24 16:55:48","300",""
"0000148186","cli_t-30","2019-10-09 06:54:40","450",""
"0000958035","cli_t-30","2019-11-26 04:50:40","600",""
"0000221301","cli_t-30","2019-09-24 14:13:31","350",""
"0000798184","cli_t-30","2019-11-25 07:57:37","950",""
"0000456216","cli_t-30","2019-02-08 18:09:12","250",""
"0000368887","cli_t-30","2019-02-28 09:17:43","850",""
"0000107179","cli_t-30","2019-12-19 07:07:37","100",""
"0000691152","cli_t-30","2019-05-02 16:20:51","650",""
"0000834297","cli_t-30","2019-03-20 17:21:23","750",""
"000039696","cli_t-30","2019-06-19 22:49:13","250",""
"0000215137","cli_t-30","2019-05-27 09:57:46","950",""
"0000775009","cli_t-30","2019-11-26 13:34:05","850",""
"000068043","cli_t-30","2019-02-25 19:21:28","750",""
"000090753","cli_t-30","2019-03-06 14:32:46","150",""
"0000970726","cli_t-30","2019-05-10 23:30:58","900",""
"0000511162","cli_t-30","2019-06-23 15:12:41","600",""
"0000759465","cli_t-30","2019-06-14 18:06:26","400",""
"0000948141","cli_t-30","2019-07-24 23:42:05","250",""
"0000527812","cli_t-30","2019-08-21 23:20:17","600",""
"0000409735","cli_t-30","2019-07-21 01:04:18","350",""
"0000630121","cli_t-30","2019-05-09 17:32:42","100",""
"0000456742","cli_t-30","2019-08-18 23:29:28","600",""
"0000727881","cli_t-30","2019-12-12 01:13:12","550",""
"0000804246","cli_t-30","2019-04-22 23:34:50","350",""
"0000510223","cli_t-30","2019-07-29 15:32:40","750",""
"0000579816","cli_t-30","2019-07-25 00:55:49","450",""
"0000182701","cli_t-30","2019-09-18 21:29:03","700",""
"0000289194","cli_t-30","2019-09-03 22:55:10","300",""
"0000110448","cli_t-30","2019-08-13 00:27:16","100",""
"0000400016","cli_t-30","2019-05-09 13:36:23","200",""
"0000557776","cli_t-30","2019-02-05 03:54:24","100",""
"0000312264","cli_t-30","2019-01-09 09:32:58","550",""
"0000927492","cli_t-30","2019-03-18 10:03:04","850",""
"000074020","cli_t-30","2019-03-26 03:10:55","600",""
"0000466662","cli_t-30","2019-01-19 19:19:59","150",""
"0000553144","cli_t-30","2019-03-16 06:54:29","500",""
"0000112727","cli_t-30","2019-10-31 04:40:01","500",""
"000087700","cli_t-30","2019-03-03 09:02:02","700",""
"0000506621","cli_t-30","2019-12-07 21:08:52","300",""
"0000208033","cli_t-30","2019-04-14 19:58:02","300",""
"0000202058","cli_t-30","2019-10-25 12:21:33","750",""
"0000571065","cli_t-30","2019-04-29 07:20:18","950",""
"0000689887","cli_t-30","2019-04-14 17:52:19","650",""
"0000911319","cli_t-30","2019-01-14 12:40:12","150",""
"0000304128","cli_t-30","2019-12-26 15:45:34","250",""
"0000314958","cli_t-30","2019-08-04 15:53:06","200",""
"0000519370","cli_t-30","2019-12-18 00:00:29","250",""
"0000334572","cli_t-30","2019-05-14 06:32:43","300",""
"0000258435","cli_t-30","2019-06-26 04:34:38","850",""
"0000163665","cli_t-30","2019-06-30 15:24:52","350",""
"000098083","cli_t-30","2019-04-15 09:50:34","450",""
"0000502252","cli_t-30","2019-03-21 20:46:47","650",""
"000046962","cli_t-30","2019-10-15 22:04:01","700",""
"0000443161","cli_t-30","2019-08-01 02:41:57","150",""
"0000820080","cli_t-30","2019-02-28 13:50:51","350",""
"0000675613","cli_t-30","2019-02-21 05:20:19","350",""
"0000878042","cli_t-30","2019-11-14 00:05:18","600",""
"0000790683","cli_t-30","2019-01-31 09:58:24","400",""
"0000602955","cli_t-30","2019-11-09 07:11:55","650",""
"0000133327","cli_t-30","2019-07-28 15:25:22","150",""
"0000635155","cli_t-30","2019-09-04 11:55:39","850",""
"0000498827","cli_t-30","2019-02-01 01:49:03","750",""
"0000799453","cli_t-30","2019-07-10 11:16:30","100",""
"000060963","cli_t-30","2019-03-19 11:12:32","900",""
"000051708","cli_t-30","2019-04-10 01:15:20","550",""
"0000526225","cli_t-30","2019-08-25 20:02:27","350",""
"0000928052","cli_t-30","2019-02-15 10:05:03","500",""
"0000543072","cli_t-30","2019-03-15 03:19:07","400",""
"0000376578","cli_t-30","2019-03-24 10:44:04","450",""
"0000947048","cli_t-30","2019-05-04 14:58:08","300",""
"0000956568","cli_t-30","2019-02-19 10:24:25","600",""
"0000984576","cli_t-30","2019-09-15 22:54:23","650",""
"0000641688","cli_t-30","2019-12-21 18:18:49","400",""
"0000727717","cli_t-30","2019-05-13 13:04:22","800",""
"0000522014","cli_t-30","2019-11-18 20:00:32","200",""
"0000939636","cli_t-30","2019-07-08 04:31:31","550",""
"0000892271","cli_t-30","2019-04-28 00:01:39","900",""
"0000527385","cli_t-30","2019-03-02 10:28:26","300",""
