a,a,a,a
243_245386411,1326726000000000,245386411,0
243_245386411,1552316400000000,632521219,0
243_245386411,1514991600000000,445976541,0
243_245386411,1562166000000000,1821867471,0
243_245386411,1486220400000000,306279528,0
243_245386411,1573484400000000,1070319462,0
243_245386411,1550934000000000,1845654045,0
243_245386411,1492873200000000,713765818,0
243_245386411,1570978800000000,1836017760,0
243_245386411,1524236400000000,2143108725,0
243_245386411,1458486000000000,1497444850,0
243_245386411,1571842800000000,1689129053,0
243_245386411,1563289200000000,1391890442,0
243_245386411,1384009200000000,2035225037,0
243_245386411,1497711600000000,1924177924,0
243_245386411,1518188400000000,178658894,0
243_245386411,1381503600000000,240919651,0
243_245386411,1461078000000000,875761527,0
243_245386411,1563116400000000,150835665,0
243_245386411,1546873200000000,1177685146,0
243_245386411,1568559600000000,602142157,0
243_245386411,1572706800000000,2039344872,0
243_245386411,1558105200000000,1333923650,0
243_245386411,1392476400000000,1160112616,0
243_245386411,1562857200000000,194318210,0
243_245386411,1434466800000000,384735911,0
243_245386411,1569855600000000,1838562672,0
243_245386411,1561215600000000,1578633903,0
243_245386411,1550242800000000,1635011037,0
243_245386411,1573138800000000,433851698,0
243_245386411,1483801200000000,1094528209,0
243_245386411,1556377200000000,686327949,0
243_245386411,1373468400000000,1620573353,0
243_245386411,1541775600000000,1387878879,0
243_245386411,1562425200000000,1017050857,0
243_245386411,1572706800000000,114012533,0
243_245386411,1563721200000000,1655562261,0
243_245386411,1518015600000000,1109218483,0
243_245386411,1558969200000000,1163471607,0
243_245386411,1569078000000000,1267255950,0
243_245386411,1550156400000000,2097102621,0
243_245386411,1481986800000000,926612844,0
243_245386411,1396710000000000,425842522,0
243_245386411,1565794800000000,169251264,0
243_245386411,1555167600000000,1902094533,0
243_245386411,1562252400000000,639343159,0
243_245386411,1504278000000000,1854922009,0
243_245386411,1563548400000000,67716006,0
243_245386411,1568559600000000,1869400026,0
243_245386411,1541170800000000,86558913,0
243_245386411,1567954800000000,741431520,0
243_245386411,1569078000000000,1503304882,0
243_245386411,1568905200000000,830687787,0
243_245386411,1558278000000000,300804223,0
243_245386411,1564326000000000,1860734497,0
243_245386411,1570114800000000,1262573693,0
243_245386411,1568473200000000,525558913,0
243_245386411,1568473200000000,179612254,0
243_245386411,1573916400000000,2325213,0
243_245386411,1500217200000000,1990720701,0
243_245386411,1566054000000000,1816073816,0
243_245386411,1505660400000000,124351398,0
243_245386411,1535814000000000,446613518,0
243_245386411,1520694000000000,1847256931,0
243_245386411,1510153200000000,1221274995,0
243_245386411,1518188400000000,1714153975,0
243_245386411,1392217200000000,2136985577,0
243_245386411,1516114800000000,1634338531,0
243_245386411,1572102000000000,388115473,0
243_245386411,1524668400000000,7064297,0
243_245386411,1567782000000000,950330032,0
243_245386411,1487257200000000,1146867354,0
243_245386411,1511190000000000,122461713,0
243_245386411,1517065200000000,301085187,0
243_245386411,1528470000000000,1036420486,0
243_245386411,1567177200000000,1847905873,0
243_245386411,1570201200000000,934225099,0
243_245386411,1539874800000000,2091160281,0
243_245386411,1573484400000000,1789237070,0
243_245386411,1370271600000000,320945958,0
243_245386411,1565967600000000,1639341396,0
243_245386411,1531062000000000,651535127,0
243_245386411,1555340400000000,923727115,0
243_245386411,1544367600000000,771119702,0
243_245386411,1520089200000000,1065713160,0
243_245386411,1535900400000000,377570010,0
243_245386411,1497106800000000,343023757,0
243_245386411,1512831600000000,1760175419,0
243_245386411,1558796400000000,591678006,0
243_245386411,1524668400000000,1325931357,0
243_245386411,1559314800000000,435167872,0
243_245386411,1544194800000000,2026005178,0
243_245386411,1523458800000000,695131253,0
243_245386411,1542466800000000,48063459,0
243_245386411,1567263600000000,1941639991,0
243_245386411,1523372400000000,1570117874,0
243_245386411,1535814000000000,1123830468,0
243_245386411,1516460400000000,890525812,0
243_245386411,1570806000000000,347239869,0
243_245386411,1548169200000000,142871704,0
243_245386411,1455289200000000,928508130,0
243_245386411,1567695600000000,150783284,0
243_245386411,1568991600000000,1487543666,0
243_245386411,1551711600000000,321192242,0
243_245386411,1531494000000000,975790343,0
243_245386411,1560610800000000,1562221939,0
243_245386411,1541775600000000,2055501967,0
243_245386411,1545836400000000,417118375,0
243_245386411,1552662000000000,1861416877,0
243_245386411,1485529200000000,115297013,0
243_245386411,1549983600000000,2059316201,0
243_245386411,1570374000000000,30604162,0
243_245386411,1537023600000000,1088381072,0
243_245386411,1567782000000000,1166021410,0
243_245386411,1550502000000000,298355914,0
243_245386411,1552662000000000,897541009,0
243_245386411,1509375600000000,802395190,0
243_245386411,1543762800000000,2028372993,0
243_245386411,1513868400000000,190490203,0
243_245386411,1568991600000000,854202039,0
243_245386411,1571842800000000,923570200,0
243_245386411,1481986800000000,1978317461,0
243_245386411,1553266800000000,740120508,0
243_245386411,1433170800000000,1443000737,0
243_245386411,1542034800000000,192318053,0
243_245386411,1569250800000000,1097397209,0
243_245386411,1564498800000000,1751325469,0
243_245386411,1423926000000000,614516107,0
243_245386411,1545922800000000,2126545173,0
243_245386411,1511017200000000,1099925775,0
243_245386411,1569164400000000,620471432,0
243_245386411,1323702000000000,1371182382,0
243_245386411,1520175600000000,745287727,0
243_245386411,1564585200000000,1446825265,0
243_245386411,1568646000000000,2065196426,0
243_245386411,1560697200000000,286840121,0
243_245386411,1528470000000000,958209587,0
243_245386411,1468940400000000,529621529,0
243_245386411,1553698800000000,589489519,0
243_245386411,1496502000000000,382698552,0
243_245386411,1549292400000000,1327169167,0
243_245386411,1537110000000000,705400860,0
243_245386411,1567868400000000,2089317615,0
243_245386411,1509289200000000,1669104653,0
243_245386411,1555081200000000,104912388,0
243_245386411,1561129200000000,2120344156,0
243_245386411,1572706800000000,942502343,0
243_245386411,1571238000000000,1821711066,0
243_245386411,1563116400000000,1763010538,0
243_245386411,1568991600000000,914175168,0
243_245386411,1567954800000000,677007331,0
243_245386411,1550502000000000,1468685544,0
243_245386411,1558191600000000,1630903943,0
243_245386411,1476975600000000,588503940,0
243_245386411,1432479600000000,215694469,0
243_245386411,1536159600000000,1190608890,0
243_245386411,1559660400000000,875010954,0
243_245386411,1483542000000000,1916681239,0
243_245386411,1199026800000000,77215921,0
243_245386411,1570028400000000,1684368286,0
243_245386411,1570028400000000,1468393491,0
243_245386411,1564585200000000,936544568,0
243_245386411,1572706800000000,117701189,0
243_245386411,1539442800000000,1244394767,0
243_245386411,1566745200000000,1360125564,0
243_245386411,1569510000000000,589094312,0
243_245386411,1570978800000000,351297720,0
